target,model,is_best,MAPE,sMAPE,RMSE,MAE,R2,MASE,beats_naive,task,arch,units,num_layers,dropout,lr,lookback,horizon,nhead,val_rmse_scaled,threshold,pos_rate_train,pos_rate_test,val_F1,accuracy,precision,recall,F1,AUC,TP,TN,FP,FN
BOD,naive_persistence,True,34.73690358877116,30.40211070237439,1.3500298682478438,1.064516129032258,-0.0663622526636225,0.7115749525616698,1.0,,,,,,,,,,,,,,,,,,,,,,,
BOD,seasonal_naive_52,True,69.74170283593033,50.64569738963994,2.506845466627009,2.056451612903226,-2.6768264840182647,1.374633431085044,0.0,,,,,,,,,,,,,,,,,,,,,,,
COD,naive_persistence,True,20.597741426335304,17.392503196674124,6.46664830670268,3.4838709677419355,-0.5442949353027715,0.5718763899773368,1.0,,,,,,,,,,,,,,,,,,,,,,,
COD,seasonal_naive_52,True,28.38006155542963,24.151854500052213,8.062289006991628,4.673387096774194,-1.400426911645502,0.767135111092284,1.0,,,,,,,,,,,,,,,,,,,,,,,
NH3N,naive_persistence,True,33.24621484199902,21.888435079540425,2.5232787170407804,2.177419354838709,0.3420833333333333,0.8185787048265825,1.0,,,,,,,,,,,,,,,,,,,,,,,
NH3N,seasonal_naive_52,True,44.29448024479375,29.29996958532952,3.75,3.040322580645161,-0.453125,1.1429784137763763,0.0,,,,,,,,,,,,,,,,,,,,,,,
NO3N,naive_persistence,True,5.862459262728567,6.26583095509716,0.1176037633806432,0.0451612903225806,0.1427074094977023,0.1710654936461388,1.0,,,,,,,,,,,,,,,,,,,,,,,
NO3N,seasonal_naive_52,True,5.217297972405986,6.628075034240615,0.1350776359799633,0.0459677419354838,-0.1309763766830605,0.1741202346041055,1.0,,,,,,,,,,,,,,,,,,,,,,,
TSS,naive_persistence,True,51.39139086719732,43.410373633084106,1.5080429530975226,1.1290322580645162,0.2682069311903566,0.7628596338273759,1.0,,,,,,,,,,,,,,,,,,,,,,,
TSS,seasonal_naive_52,True,82.49441418796259,61.45783852065685,3.6024745079799194,2.056451612903226,-3.176021262347229,1.3894943330427203,0.0,,,,,,,,,,,,,,,,,,,,,,,
BOD,LSTM,True,54.36414109749597,38.30223092809616,1.644030263830644,1.4421543613556893,-0.5813850371773546,0.9640069260398992,1.0,regression,LSTM,64.0,1.0,0.0,0.001,8.0,1.0,2.0,0.1568676499624449,,,,,,,,,,,,,
BOD,GRU,True,54.77226123373693,37.48834759205079,1.633698027296975,1.409991910380702,-0.5615704376637203,0.9425079614844264,1.0,regression,GRU,64.0,2.0,0.1,0.001,8.0,1.0,2.0,0.1554529225137894,,,,,,,,,,,,,
BOD,Transformer,True,79.35850740317683,51.05027392958424,2.411270526807228,2.109111101396622,-2.401808679978501,1.4098336239282234,0.0,regression,Transformer,32.0,2.0,0.2,0.001,4.0,4.0,2.0,0.1521241924081083,,,,,,,,,,,,,
BOD,LSTM_AE,True,51.32738430597337,36.56900691451259,1.5494424546425434,1.3585639922849593,-0.4046525512079211,0.908131010885668,1.0,regression,LSTM_AE,64.0,1.0,0.0,0.001,4.0,1.0,2.0,0.1602985085224627,,,,,,,,,,,,,
COD,LSTM,True,43.54216626087222,36.5879153076196,6.393993094254948,6.118257768692509,-0.5097884148354055,1.0043102049725063,0.0,regression,LSTM,64.0,1.0,0.0,0.001,8.0,4.0,2.0,0.212366096999265,,,,,,,,,,,,,
COD,GRU,True,38.07401950389811,34.11013318670763,6.232445789807712,5.644812430104902,-0.4344611220270453,0.9265942925319932,1.0,regression,GRU,64.0,2.0,0.1,0.001,4.0,1.0,2.0,0.2085717757576975,,,,,,,,,,,,,
COD,Transformer,True,62.49002022726589,48.39974816431326,8.975749886690386,8.590485511287566,-1.975180009662312,1.4101256584516688,0.0,regression,Transformer,32.0,2.0,0.2,0.0001,4.0,4.0,4.0,0.2037839076724852,,,,,,,,,,,,,
COD,LSTM_AE,True,39.82947073663728,34.459630147026495,6.005040925354347,5.702332035187752,-0.3316917396197234,0.936036118711056,1.0,regression,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,0.2216036984780997,,,,,,,,,,,,,
NH3N,LSTM,True,61.90584833366223,26.766012753018632,3.621631594925794,2.8854613765593498,-0.3553422589676909,1.0847599159997554,0.0,regression,LSTM,64.0,1.0,0.0,0.001,8.0,1.0,2.0,0.147622277120856,,,,,,,,,,,,,
NH3N,GRU,True,68.08639008513595,26.372649936241206,3.865039170972832,2.8940370313582884,-0.5436478719592832,1.0879838463752962,0.0,regression,GRU,64.0,2.0,0.1,0.001,8.0,4.0,2.0,0.1525562857894171,,,,,,,,,,,,,
NH3N,Transformer,True,64.86338958717259,24.735233107493126,3.68963683344439,2.6663087721793883,-0.4067200628133196,1.0023717188644317,0.0,regression,Transformer,64.0,2.0,0.1,0.001,4.0,4.0,4.0,0.1531130934484757,,,,,,,,,,,,,
NH3N,LSTM_AE,True,55.4722142981255,23.14327558664696,3.186514629904722,2.3933523239627963,-0.0492338002816723,0.8997565127679685,1.0,regression,LSTM_AE,64.0,2.0,0.2,0.001,4.0,1.0,2.0,0.1502075944301227,,,,,,,,,,,,,
NO3N,LSTM,True,67.23819474925915,45.6545387402252,0.6609933710023357,0.361756682011389,-26.0820065651974,1.370290462164352,0.0,regression,LSTM,64.0,2.0,0.2,0.001,4.0,1.0,2.0,0.001892595526393,,,,,,,,,,,,,
NO3N,GRU,True,58.872068253887264,37.02765132674425,0.4980146208055354,0.3127717593023854,-14.373431498648651,1.1847415125090357,0.0,regression,GRU,64.0,2.0,0.1,0.0001,8.0,4.0,2.0,0.0015757624998829,,,,,,,,,,,,,
NO3N,Transformer,True,53.92699252560409,44.27925894350905,0.4059663369689316,0.2882143582067182,-9.215665806572291,1.0917210538133264,0.0,regression,Transformer,64.0,2.0,0.2,0.001,4.0,1.0,4.0,0.0035267375709891,,,,,,,,,,,,,
NO3N,LSTM_AE,True,55.84242450658912,38.87581580669936,0.4050792630892331,0.2956152948641008,-9.171070239065026,1.119754904788261,0.0,regression,LSTM_AE,64.0,2.0,0.2,0.001,8.0,1.0,2.0,0.0002941392287751,,,,,,,,,,,,,
TSS,LSTM,True,92.53132932272024,61.37957017521951,1.7642079367392378,1.4757804639877812,-0.0015218107937797,0.9971489621539062,1.0,regression,LSTM,64.0,2.0,0.2,0.0001,8.0,1.0,2.0,0.1336672994531731,,,,,,,,,,,,,
TSS,GRU,True,90.59981035105828,70.36842660726431,2.067134614517827,1.66785349768977,-0.37498635173976,1.1269280389795744,0.0,regression,GRU,64.0,1.0,0.0,0.001,4.0,1.0,2.0,0.1342192610918557,,,,,,,,,,,,,
TSS,Transformer,True,119.94517185338098,71.8809994446406,2.4391522324540253,1.9917380002237133,-0.914426429658504,1.3457689190700768,0.0,regression,Transformer,64.0,2.0,0.1,0.001,8.0,4.0,4.0,0.1312097886623774,,,,,,,,,,,,,
TSS,LSTM_AE,True,82.27459410335278,55.65747405580673,1.7506059155646525,1.3532615707766624,0.0138620961603326,0.9143659262004477,1.0,regression,LSTM_AE,64.0,2.0,0.1,0.0001,8.0,4.0,2.0,0.1348045783483239,,,,,,,,,,,,,
BOD,LSTM,,,,,,,,,classification,LSTM,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,4.5,0.23809523809523808,0.25806451612903225,0.0,0.7419354838709677,0.0,0.0,0.0,0.2826086956521739,0.0,23.0,0.0,8.0
BOD,GRU,,,,,,,,,classification,GRU,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,4.5,0.23809523809523808,0.25806451612903225,0.0,0.7419354838709677,0.0,0.0,0.0,0.5271739130434783,0.0,23.0,0.0,8.0
BOD,Transformer,,,,,,,,,classification,Transformer,32.0,2.0,0.2,0.001,8.0,1.0,4.0,,4.5,0.23809523809523808,0.25806451612903225,0.42857142857142855,0.7419354838709677,0.0,0.0,0.0,0.266304347826087,0.0,23.0,0.0,8.0
BOD,LSTM_AE,,,,,,,,,classification,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,4.5,0.23809523809523808,0.25806451612903225,0.0,0.7419354838709677,0.0,0.0,0.0,0.32065217391304346,0.0,23.0,0.0,8.0
COD,LSTM,,,,,,,,,classification,LSTM,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,24.0,0.21428571428571427,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.5092592592592593,0.0,27.0,0.0,4.0
COD,GRU,,,,,,,,,classification,GRU,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,24.0,0.21428571428571427,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.4814814814814815,0.0,27.0,0.0,4.0
COD,Transformer,,,,,,,,,classification,Transformer,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,24.0,0.21428571428571427,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.5277777777777778,0.0,27.0,0.0,4.0
COD,LSTM_AE,,,,,,,,,classification,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,24.0,0.21428571428571427,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.462962962962963,0.0,27.0,0.0,4.0
NH3N,LSTM,,,,,,,,,classification,LSTM,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,13.458333333333334,0.25396825396825395,0.1935483870967742,0.0,0.8064516129032258,0.0,0.0,0.0,0.66,0.0,25.0,0.0,6.0
NH3N,GRU,,,,,,,,,classification,GRU,32.0,1.0,0.0,0.001,8.0,4.0,2.0,,13.458333333333334,0.25396825396825395,0.1935483870967742,0.375,0.8064516129032258,0.0,0.0,0.0,0.5599999999999999,0.0,25.0,0.0,6.0
NH3N,Transformer,,,,,,,,,classification,Transformer,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,13.458333333333334,0.25396825396825395,0.1935483870967742,0.2857142857142857,0.8064516129032258,0.0,0.0,0.0,0.38666666666666666,0.0,25.0,0.0,6.0
NH3N,LSTM_AE,,,,,,,,,classification,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,13.458333333333334,0.25396825396825395,0.1935483870967742,0.0,0.8064516129032258,0.0,0.0,0.0,0.5733333333333334,0.0,25.0,0.0,6.0
NO3N,LSTM,,,,,,,,,classification,LSTM,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,0.5,0.06349206349206349,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.33333333333333337,0.0,27.0,0.0,4.0
NO3N,GRU,,,,,,,,,classification,GRU,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,0.5,0.06349206349206349,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.3148148148148149,0.0,27.0,0.0,4.0
NO3N,Transformer,,,,,,,,,classification,Transformer,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,0.5,0.06349206349206349,0.12903225806451613,0.0,0.8064516129032258,0.0,0.0,0.0,0.2314814814814815,0.0,25.0,2.0,4.0
NO3N,LSTM_AE,,,,,,,,,classification,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,0.5,0.06349206349206349,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.33333333333333337,0.0,27.0,0.0,4.0
TSS,LSTM,,,,,,,,,classification,LSTM,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,4.0,0.16666666666666666,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.48148148148148145,0.0,27.0,0.0,4.0
TSS,GRU,,,,,,,,,classification,GRU,32.0,1.0,0.0,0.001,8.0,4.0,2.0,,4.0,0.16666666666666666,0.12903225806451613,0.28571428571428575,0.8709677419354839,0.0,0.0,0.0,0.6574074074074074,0.0,27.0,0.0,4.0
TSS,Transformer,,,,,,,,,classification,Transformer,64.0,2.0,0.2,0.001,8.0,4.0,2.0,,4.0,0.16666666666666666,0.12903225806451613,0.6666666666666665,0.8064516129032258,0.3333333333333333,0.5,0.4,0.5740740740740741,2.0,23.0,4.0,2.0
TSS,LSTM_AE,,,,,,,,,classification,LSTM_AE,32.0,1.0,0.0,0.001,4.0,1.0,2.0,,4.0,0.16666666666666666,0.12903225806451613,0.0,0.8709677419354839,0.0,0.0,0.0,0.5740740740740741,0.0,27.0,0.0,4.0
